timeTick, laserFront
56366, 27.0
56386, 27.0
56406, 27.0
56426, 27.0
56446, 28.0
56466, 28.0
56486, 28.0
56506, 28.0
56526, 28.0
56546, 31.0
56566, 31.0
56586, 31.0
56606, 31.0
56626, 31.0
56646, 25.0
56666, 25.0
56686, 25.0
56706, 25.0
56726, 25.0
56746, 27.0
56766, 27.0
56786, 27.0
56806, 27.0
56826, 27.0
56846, 27.0
56866, 27.0
56886, 27.0
56906, 27.0
56926, 27.0
56946, 27.0
56966, 27.0
56986, 27.0
57006, 27.0
57026, 27.0
57046, 27.0
57066, 27.0
57086, 27.0
57106, 27.0
57126, 27.0
57146, 26.0
57166, 26.0
57186, 26.0
57206, 26.0
57226, 26.0
57246, 29.0
57266, 29.0
57286, 29.0
57306, 29.0
57326, 29.0
57346, 27.0
57366, 27.0
57386, 27.0
57406, 27.0
57426, 27.0
57446, 29.0
57466, 29.0
57486, 29.0
57506, 29.0
57526, 29.0
57546, 27.0
57566, 27.0
57586, 27.0
57606, 27.0
57626, 27.0
57646, 27.0
57666, 27.0
57686, 27.0
57706, 27.0
57726, 27.0
57746, 25.0
57766, 25.0
57786, 25.0
57806, 25.0
57826, 25.0
57846, 24.0
57866, 24.0
57886, 24.0
57906, 24.0
57926, 24.0
57946, 28.0
57966, 28.0
57986, 28.0
58006, 28.0
58026, 28.0
58046, 29.0
58066, 29.0
58086, 29.0
58106, 29.0
58126, 29.0
58146, 29.0
58166, 29.0
58186, 29.0
58206, 29.0
58226, 29.0
58246, 25.0
58266, 25.0
58286, 25.0
58306, 25.0
58326, 25.0
58346, 27.0
58366, 27.0
58386, 27.0
58406, 27.0
58426, 27.0
58446, 29.0
58466, 29.0
58486, 29.0
58506, 29.0
58526, 29.0
58546, 28.0
58566, 28.0
58586, 28.0
58606, 28.0
58626, 28.0
58646, 28.0
58666, 28.0
58686, 28.0
58706, 28.0
58726, 28.0
58746, 28.0
58766, 28.0
58786, 28.0
58806, 28.0
58826, 28.0
58846, 24.0
58866, 24.0
58886, 24.0
58906, 24.0
58926, 24.0
58946, 27.0
58966, 27.0
58986, 27.0
59006, 27.0
59026, 27.0
59046, 26.0
59066, 26.0
59086, 26.0
59106, 26.0
59126, 26.0
59146, 27.0
59166, 27.0
59186, 27.0
59206, 27.0
59226, 27.0
59246, 26.0
59266, 26.0
59286, 26.0
59306, 26.0
59326, 26.0
59346, 27.0
59366, 27.0
59386, 27.0
59406, 27.0
59426, 27.0
59446, 26.0
59466, 26.0
59486, 26.0
59506, 26.0
59526, 26.0
59546, 23.0
59566, 23.0
59586, 23.0
59606, 23.0
59626, 23.0
59646, 27.0
59666, 27.0
59686, 27.0
59706, 27.0
59726, 27.0
59746, 29.0
59766, 29.0
59786, 29.0
59806, 29.0
59826, 29.0
59846, 25.0
59866, 25.0
59886, 25.0
59906, 25.0
59926, 25.0
59946, 27.0
59966, 27.0
59986, 27.0
60006, 27.0
60026, 27.0
60046, 27.0
60066, 27.0
60086, 27.0
60106, 27.0
60126, 27.0
60146, 26.0
60166, 26.0
60186, 26.0
60206, 26.0
60226, 26.0
60246, 26.0
60266, 26.0
60286, 26.0
60306, 26.0
60326, 26.0
60346, 27.0
60366, 27.0
60386, 27.0
60406, 27.0
60426, 27.0
60446, 26.0
60466, 26.0
60486, 26.0
60506, 26.0
60526, 26.0
60546, 27.0
60566, 27.0
60586, 27.0
60606, 27.0
60626, 27.0
60646, 24.0
60666, 24.0
60686, 24.0
60706, 24.0
60726, 24.0
60746, 27.0
60766, 27.0
60786, 27.0
60806, 27.0
60826, 27.0
60846, 27.0
60866, 27.0
60886, 27.0
60906, 27.0
60926, 27.0
60946, 26.0
60966, 26.0
60986, 26.0
61006, 26.0
61026, 26.0
61046, 27.0
61066, 27.0
61086, 27.0
61106, 27.0
61126, 27.0
61146, 27.0
61166, 27.0
61186, 27.0
61206, 27.0
61226, 27.0
61246, 27.0
61266, 27.0
61286, 27.0
61306, 27.0
61326, 27.0
61346, 27.0
61366, 27.0
61386, 27.0
61406155426.875, 144284.796875, 154544.671875
39700, 157586.96875, 119076.7890625, 157712.125, 155436.859375, 144283.03125, 154544.671875
39720, 157586.96875, 119084.1875, 157715.984375, 155432.453125, 144293.921875, 154542.1875
39740, 157586.96875, 119075.3125, 157710.203125, 155427.453125, 144295.0, 154547.75
39760, 157586.96875, 119082.7109375, 157714.0625, 155427.453125, 144296.375, 154545.265625
39780, 157585.046875, 119078.2734375, 157712.125, 155429.375, 144286.5625, 154552.125
39800, 157586.96875, 119081.9609375, 157712.125, 155431.875, 144279.890625, 154545.265625
39820, 157586.96875, 119076.7890625, 157714.0625, 155426.875, 144284.796875, 154545.265625
39840, 157588.890625, 119076.7890625, 157714.0625, 155424.953125, 144282.34375, 154537.8125
39860, 157590.8125, 119075.3125, 157712.125, 155429.953125, 144289.015625, 154549.640625
39880, 157586.96875, 119085.65625, 157715.984375, 155436.859375, 144285.875, 154539.703125
39900, 157586.96875, 119084.921875, 157710.203125, 155425.546875, 144291.46875, 154547.15625
39920, 157586.96875, 119083.4453125, 157710.203125, 155434.9375, 144284.796875, 154545.875
39940, 157586.96875, 119090.09375, 157712.125, 155420.546875, 144298.140625, 154548.4375
39960, 157588.890625, 119078.2734375, 157710.203125, 155429.375, 144284.796875, 154542.1875
39980, 157588.890625, 119086.390625, 157715.984375, 155432.453125, 144293.921875, 154549.046875
40000, 157586.96875, 119088.625, 157710.203125, 155429.375, 144282.34375, 154545.953125
40020, 157590.8125, 119085.65625, 157712.125, 155424.953125, 144284.796875, 154540.296875
40040, 157586.96875, 119089.359375, 157712.125, 155429.953125, 144296.375, 154541.59375
40060, 157586.96875, 119081.9609375, 157710.203125, 155432.453125, 144286.5625, 154537.8125
40080, 157586.96875, 119087.140625, 157712.125, 155428.03125, 144289.703125, 154540.296875
40100, 157586.96875, 119083.4453125, 157710.203125, 155429.953125, 144295.0, 154536.53125
40120, 157585.046875, 119081.9609375, 157714.0625, 155417.46875, 144284.796875, 154552.125
40140, 157586.96875, 119087.875, 157712.125, 155434.359375, 144285.875, 154550.234375
