timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw
39499, 157687.078125, 118373.8984375, 157806.671875, 155316.703125, 143329.515625, 153914.5625, -0.2935647964477539
39519, 157685.140625, 118381.28125, 157812.46875, 155319.953125, 143323.546875, 153917.046875, -0.2942139804363251
39539, 157687.078125, 118385.7109375, 157812.46875, 155314.203125, 143321.09375, 153917.046875, -0.2977220416069031
39559, 157689.0, 118373.8984375, 157812.46875, 155314.953125, 143329.515625, 153914.5625, -0.2981818914413452
39579, 157687.078125, 118380.5390625, 157806.671875, 155316.109375, 143320.40625, 153920.140625, -0.2973697781562805
39599, 157687.078125, 118375.375, 157808.609375, 155316.703125, 143321.09375, 153912.6875, -0.2976852357387543
39619, 157683.21875, 118375.375, 157810.546875, 155320.53125, 143331.28125, 153921.421875, -0.2980252504348755
39639, 157687.078125, 118380.5390625, 157808.609375, 155313.625, 143322.859375, 153905.234375, -0.29722872376441956
39659, 157683.21875, 118373.8984375, 157808.609375, 155329.9375, 143319.03125, 153922.6875, -0.2971288859844208
39679, 157683.21875, 118381.28125, 157806.671875, 155316.109375, 143312.0, 153922.015625, -0.2972331941127777
39699, 157683.21875, 118381.28125, 157810.546875, 155320.53125, 143328.453125, 153919.53125, -0.2967242896556854
39719, 157687.078125, 118379.0703125, 157812.46875, 155313.03125, 143325.3125, 153919.53125, -0.29581987857818604
39739, 157687.078125, 118382.015625, 157808.609375, 155316.109375, 143322.859375, 153913.96875, -0.29267558455467224
39759, 157687.078125, 118383.4921875, 157808.609375, 155313.03125, 143320.40625, 153917.046875, -0.2951275408267975
39779, 157685.140625, 118384.234375, 157808.609375, 155324.9375, 143321.09375, 153917.046875, -0.29661837220191956
39799, 157687.078125, 118383.4921875, 157808.609375, 155318.609375, 143320.40625, 153914.5625, -0.29556694626808167
39819, 157687.078125, 118384.234375, 157812.46875, 155321.109375, 143313.75, 153917.65625, -0.29648372530937195
39839, 157683.21875, 118380.5390625, 157806.671875, 155318.03125, 143327.75, 153915.78125, -0.295444518327713
39859, 157687.078125, 118379.0703125, 157806.671875, 155311.125, 143321.09375, 153912.6875, -0.2954021394252777
39879, 157689.0, 118379.8046875, 157808.609375, 155312.453125, 143324.625, 153926.390625, -0.296511173248291
39899, 157687.078125, 118377.59375, 157810.546875, 155317.453125, 143325.3125, 153925.109375, -0.2981908917427063
39919, 157687.078125, 118376.1171875, 157810.546875, 155316.703125, 143327.0625, 153918.9375, -0.3003827929496765
39939, 157687.078125, 118379.8046875, 157812.46875, 155316.703125, 143327.0625, 153918.9375, -0.2978000044822693
39959, 157687.078125, 118383.4921875, 157808.609375, 155315.53125, 143328.453125, 153912.6875, -0.29707813262939453
39979, 157685.140625, 118385.7109375, 157810.546875, 155320.53125, 143320.40625, 153914.5625, -0.2982843220233917
39999, 157687.078125, 118382.7578125, 157808.609375, 155316.703125, 143320.40625, 153907.71875, -0.29894474148750305
40019, 157689.0, 118378.328125, 157812.46875, 155322.4375, 143323.546875, 153918.9375, -0.29998356103897095
40039, 157687.078125, 118388.65625, 157810.546875, 155327.4375, 143320.40625, 153917.65625, -0.3011991083621979
40059, 157687.078125, 118379.8046875, 157808.609375, 155321.109375, 143334.40625, 153921.421875, -0.3004553020000458
40079, 157689.0, 118375.375, 157806.671875, 155320.53125, 143326.375, 153912.6875, -0.3022027015686035
40099, 157687.078125, 118387.921875, 157804.75, 155320.53125, 143326.0, 153926.390625, -0.3021189570426941
40119, 157689.0, 118387.1796875, 157814.40625, 155308.625, 143327.75, 153912.6875, -0.3031241297721863
40139, 157685.140625, 118379.8046875, 157808.609375, 155315.53125, 143322.859375, 153917.65625, -0.3034527599811554
40159, 157689.0, 118383.4921875, 157810.546875, 155320.53125, 143323.546875, 153915.171875, -0.30331316590309143
40179, 157687.078125, 118383.4921875, 157812.46875, 155320.53125, 143323.546875, 153915.171875, -0.30255886912345886
40199, 157689.0, 118380.5390625, 157812.46875, 155329.359375, 143322.171875, 153914.5625, -0.3033783733844757
40219, 157683.21875, 118378.328125, 157808.609375, 155320.53125, 143316.890625, 153915.171875, -0.303123414516449
40239, 157685.140625, 118388.6640625, 157808.609375, 155314.203125, 143326.0, 153918.9375, -0.3038156032562256
40259, 157687.078125, 118382.015625, 157808.609375, 155323.03125, 143318.65625, 153921.421875, -0.3057807385921478
40279, 157687.078125, 118387.1875, 157808.609375, 155320.53125, 143330.890625, 153910.203125, -0.3042593002319336
40299, 157689.0, 118388.65625, 157808.609375, 155313.03125, 143325.3125, 153917.046875, -0.3051435351371765
40319, 157685.140625, 118379.0625, 157808.609375, 155321.859375, 143323.546875, 153917.65625, -0.304610937833786
40339, 157687.078125, 118388.6640625, 157806.671875, 155321.109375, 143319.71875, 153920.140625, -0.30498236417770386
40359, 157687.078125, 118381.28125, 157808.609375, 155318.03125, 143330.203125, 153921.421875, -0.30648139119148254
40379, 157687.078125, 118383.4921875, 157808.609375, 155321.109375, 143331.96875, 153923.296875, -0.3061423897743225
40399, 157687.078125, 118383.4921875, 157808.609375, 155327.4375, 143327.0625, 153920.75, -0.3045257031917572
40419, 157683.21875, 118384.96875, 157806.671875, 155320.53125, 143327.0625, 153915.78125, -0.3023240864276886
40439, 157683.21875, 118379.0703125, 157808.609375, 155320.53125, 143328.453125, 153922.015625, -0.30331456661224365
40459, 157689.0, 118382.015625, 157806.671875, 155316.109375, 143321.09375, 153914.5625, -0.30331531167030334
40479, 157687.078125, 118381.28125, 157808.609375, 155320.53125, 143327.75, 153926.984375, -0.3044441342353821
40499, 157683.21875, 118393.0859375, 157812.46875, 155323.03125, 143333.34375, 153912.6875, -0.3048485517501831
40519, 157687.078125, 118385.7109375, 157808.609375, 155319.953125, 143330.203125, 153910.203125, -0.3046726584434509
40539, 157687.078125, 118390.1328125, 157814.40625, 155323.03125, 143332.65625, 153928.875, -0.30585476756095886
40559, 157689.0, 118385.7109375, 157814.40625, 155323.03125, 143322.859375, 153907.125, -0.3047112822532654
40579, 157685.140625, 118387.921875, 157806.671875, 155325.515625, 143330.890625, 153922.015625, -0.30603882670402527
40599, 157689.0, 118379.8046875, 157804.75, 155327.4375, 143328.453125, 153917.046875, -0.3046824038028717
40619, 157687.078125, 118387.921875, 157810.546875, 155319.953125, 143327.75, 153917.65625, -0.3052079677581787
40639, 157687.078125, 118383.4921875, 157810.546875, 155319.953125, 143321.09375, 153916.453125, -0.3061572015285492
40659, 157683.21875, 118381.28125, 157808.609375, 155316.109375, 143330.203125, 153918.265625, -0.30618441104888916
40679, 157685.140625, 118381.28125, 157808.609375, 155318.03125, 143319.34375, 153913.359375, -0.3069545030593872
40699, 157690.921875, 118376.1171875, 157812.46875, 155304.21875, 143327.75, 153922.015625, -0.3086792826652527
40719, 157685.140625, 118387.921875, 157804.75, 155323.03125, 143319.34375, 153919.53125, -0.30809491872787476
40739, 157685.140625, 118384.234375, 157812.46875, 155313.625, 143322.859375, 153912.6875, -0.30867019295692444
40759, 157685.140625, 118381.28125, 157814.40625, 155319.953125, 143328.453125, 153905.84375, -0.31005632877349854
40779, 157689.0, 118379.8046875, 157810.546875, 155323.609375, 143319.34375, 153919.53125, -0.30868998169898987
