timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ
127254, 0.003223060630261898, 0.0022364940959960222, -0.21911463141441345, 0.04364432394504547, 0.03025444783270359, -2.9412660598754883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127264, 0.003673536004498601, 0.0025490946136415005, -0.2495138943195343, 0.04646271467208862, 0.03226330503821373, -3.1385858058929443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127274, 0.0041531408205628395, 0.0028819283470511436, -0.2818872928619385, 0.04945938661694527, 0.03429991006851196, -3.3360908031463623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127284, 0.00466264970600605, 0.0032352593261748552, -0.31623610854148865, 0.05244513228535652, 0.03636329993605614, -3.5336732864379883, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127294, 0.005200708284974098, 0.0036092048976570368, -0.3525603711605072, 0.055166274309158325, 0.038425467908382416, -3.7311787605285645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127304, 0.005766167305409908, 0.0040038772858679295, -0.39086002111434937, 0.05792076140642166, 0.04050619900226593, -3.9287524223327637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127314, 0.00635935366153717, 0.004419205244630575, -0.43113473057746887, 0.06071583181619644, 0.04255802556872368, -4.126188278198242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127324, 0.006980848498642445, 0.004854900296777487, -0.4733838438987732, 0.06358076632022858, 0.04457806795835495, -4.323635101318359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127334, 0.007631994783878326, 0.005310959182679653, -0.5176076292991638, 0.0666438564658165, 0.046633753925561905, -4.521122455596924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127344, 0.00831269659101963, 0.005786980967968702, -0.5638063549995422, 0.0694916769862175, 0.04857069253921509, -4.718625068664551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127354, 0.009020843543112278, 0.00628280732780695, -0.6119795441627502, 0.07214317470788956, 0.05059701204299927, -4.916013717651367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127364, 0.009756423532962799, 0.006799004971981049, -0.6621261239051819, 0.07497448474168777, 0.05264271795749664, -5.113300800323486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127374, 0.010520588606595993, 0.007335638627409935, -0.7142455577850342, 0.07785674929618835, 0.05469011515378952, -5.310586452484131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127384, 0.011314225383102894, 0.007893203757703304, -0.7683386206626892, 0.08087707310914993, 0.05682121962308884, -5.508025646209717, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
127394, 0.012137447483837605, 0.008472265675663948, -0.8244062662124634, 0.08377089351415634, 0.05899114906787872, -5.705498695373535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.027412742376327515, -0.8694734573364258, 0.024429351091384888
