timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, otX, otY, otZ, laserHeight
259015, -0.048038747161626816, -1.2970701456069946, 0.007634720765054226, -0.006680796388536692, -0.006607049144804478, -0.00010425929940538481, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047663092613220215, -1.2968082427978516, 0.007467970252037048, 0.0
259025, -0.048040132969617844, -1.297118902206421, 0.007616827264428139, -0.00606828648597002, -0.007298775017261505, -0.00020066533761564642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04782062768936157, -1.2968463897705078, 0.007371664047241211, 0.0
259035, -0.048024266958236694, -1.2971755266189575, 0.0076232003048062325, -0.0054274327121675014, -0.008270997554063797, -0.00022282043937593699, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0477069616317749, -1.296804428100586, 0.007835343480110168, 0.0
259045, -0.04805058613419533, -1.297242522239685, 0.00761415297165513, -0.0053750392980873585, -0.008843145333230495, -0.00016576750203967094, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04786950349807739, -1.2967891693115234, 0.007474586367607117, 0.0
259056, -0.0480230450630188, -1.2973010540008545, 0.007609933614730835, -0.004582750611007214, -0.009375442750751972, 1.838432945078239e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047785401344299316, -1.2968273162841797, 0.007422164082527161, 0.0
259065, -0.047998879104852676, -1.2973778247833252, 0.007609572261571884, -0.003818212077021599, -0.009992910549044609, 0.00014084733265917748, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047808945178985596, -1.2968616485595703, 0.0076730698347091675, 0.0
259075, -0.04795654118061066, -1.297440767288208, 0.007606010418385267, -0.0028877221047878265, -0.010444654151797295, 0.00011481875844765455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047763168811798096, -1.2968864440917969, 0.0075586289167404175, 0.0
259085, -0.047949135303497314, -1.2975294589996338, 0.007612631190568209, -0.0024418779648840427, -0.011087465099990368, 9.629935084376484e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04778563976287842, -1.29681396484375, 0.007728874683380127, 0.0
259095, -0.04785258695483208, -1.297563076019287, 0.007625511847436428, -0.0006799953407607973, -0.011647811159491539, 0.00026238293503411114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047752559185028076, -1.2968883514404297, 0.007072359323501587, 0.0
259105, -0.04779074341058731, -1.2976254224777222, 0.007612296845763922, 0.00032290123635903, -0.012077780440449715, 0.00024029436463024467, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04781782627105713, -1.2968692779541016, 0.007281318306922913, 0.0
259115, -0.04777037724852562, -1.2977083921432495, 0.007682377472519875, 0.000612126081250608, -0.012552037835121155, 0.0006728081498295069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0478861927986145, -1.2967071533203125, 0.009040862321853638, 0.0
259125, -0.04769270122051239, -1.2977627515792847, 0.007675014901906252, 0.0018256868934258819, -0.012988765724003315, 0.0008748439140617847, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04760456085205078, -1.2967796325683594, 0.006748363375663757, 0.0
259135, -0.04761481657624245, -1.29783296585083, 0.007714326027780771, 0.0027594699058681726, -0.013398629613220692, 0.0012766026193276048, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.047965407371520996, -1.2968502044677734, 0.008675709366798401, 0.0
259145, -0.047582611441612244, -1.2978049516677856, 0.007663226220756769, 0.003224206157028675, -0.013401049189269543, 0.0010017830645665526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04762077331542969, -1.296854019165039, 0.006666243076324463, 0.0
259155, -0.04751218110322952, -1.2978463172912598, 0.007651494815945625, 0.003928062971681356, -0.013765942305326462, 0.0010185356950387359, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04782736301422119, -1.2968120574951172, 0.007316097617149353, 0.0
259165, -0.04737602919340134, -1.2980340719223022, 0.007670362014323473, 0.005173238925635815, -0.01464046724140644, 0.0011524069122970104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04770028591156006, -1.2968006134033203, 0.0075466930866241455, 0.0
