timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
153239, 1.7733879089355469, -3.3357064723968506, 0.004709417931735516, -0.05973471701145172, -0.005113841500133276, 0.009888766333460808, 118716.0546875, 148776.046875, 89935.78125, 120189.7109375, 139874.8125, 98393.6015625, 0.0, 0.0, 0.0, 0.0, 1.7803466320037842, -3.334902048110962, -0.011051507666707039, 84.19969940185547, 3.9909677505493164
153259, 1.7738343477249146, -3.336007833480835, 0.0034873855765908957, -0.056707996875047684, -0.007959919981658459, 0.0012447478948161006, 118719.046875, 148772.8125, 89935.78125, 120186.21875, 139873.546875, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.7803541421890259, -3.3348724842071533, -0.011025390587747097, 84.20380401611328, 3.9748620986938477
153279, 1.7738661766052246, -3.3362209796905518, 0.0023450960870832205, -0.0562540702521801, -0.010070844553411007, -0.005907187703996897, 118720.546875, 148776.5, 89934.1875, 120187.515625, 139868.484375, 98400.4453125, 0.0, 0.0, 0.0, 0.0, 1.7806880474090576, -3.3351261615753174, -0.011356095783412457, 84.21102142333984, 3.953110456466675
153299, 1.7742693424224854, -3.3356852531433105, 0.003028442384675145, -0.05358562618494034, -0.005254972726106644, -0.0012697442434728146, 118716.859375, 148774.203125, 89939.671875, 120190.3671875, 139874.8125, 98394.359375, 0.0, 0.0, 0.0, 0.0, 1.7805849313735962, -3.335066795349121, -0.011128059588372707, 84.2190933227539, 3.9941792488098145
153319, 1.7744089365005493, -3.335616111755371, 0.001585879479534924, -0.05346118286252022, -0.004804601892828941, -0.009622734971344471, 118715.359375, 148767.734375, 89931.890625, 120181.5859375, 139875.5625, 98396.390625, 0.0, 0.0, 0.0, 0.0, 1.7804229259490967, -3.3349499702453613, -0.011278773657977581, 84.18537139892578, 3.9628243446350098
153339, 1.7739830017089844, -3.336250066757202, 0.0031599209178239107, -0.05706483870744705, -0.01058864500373602, 0.001617935486137867, 118721.234375, 148769.578125, 89934.984375, 120187.515625, 139870.765625, 98388.2734375, 0.0, 0.0, 0.0, 0.0, 1.7806936502456665, -3.335146188735962, -0.011355956085026264, 84.18943786621094, 3.9828994274139404
153361, 1.774152159690857, -3.335967540740967, 0.0018791418988257647, -0.05636536702513695, -0.008224387653172016, -0.005968149751424789, 118716.859375, 148767.28125, 89936.1328125, 120185.9765625, 139872.53125, 98384.96875, 0.0, 0.0, 0.0, 0.0, 1.7795689105987549, -3.334779739379883, -0.00984245166182518, 84.15312194824219, 3.9512860774993896
153379, 1.7741204500198364, -3.335834264755249, 0.004065639339387417, -0.0568401999771595, -0.0071453494019806385, 0.008199320174753666, 118713.171875, 148774.203125, 89933.4765625, 120181.5859375, 139876.078125, 98389.546875, 0.0, 0.0, 0.0, 0.0, 1.7802486419677734, -3.3348805904388428, -0.011012235656380653, 84.17101287841797, 3.955026865005493
153400, 1.774224042892456, -3.33620285987854, 0.002754068002104759, -0.05637436732649803, -0.01069079153239727, -0.001093164668418467, 118713.171875, 148780.65625, 89933.8359375, 120185.3203125, 139870.765625, 98390.296875, 0.0, 0.0, 0.0, 0.0, 1.780431866645813, -3.3349459171295166, -0.01121631171554327, 84.18038177490234, 3.9801840782165527
153419, 1.7740322351455688, -3.335761785507202, 0.004924836568534374, -0.05698904022574425, -0.0056177969090640545, 0.0129003981128335, 118714.671875, 148774.65625, 89936.9296875, 120182.4765625, 139868.484375, 98389.546875, 0.0, 0.0, 0.0, 0.0, 1.780350923538208, -3.3348846435546875, -0.011192938312888145, 84.1419677734375, 4.006742000579834
