timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, whiskerP1_2, whiskerP2_2, laserFront
110361, 0.5217289328575134, 0.012618867680430412, 0.26518869400024414, 0.2026437222957611, -0.006981562357395887, 0.0028614727780222893, 158311.3125, 119358.125, 158414.796875, 144558.296875, 132507.90625, 153332.765625, 36658.0, 46137.0, 45485.0, 41112.0, -0.061020780354738235, -0.15085265040397644, 0, 0, 80.0
110381, 0.5258503556251526, 0.012604531832039356, 0.26523661613464355, 0.20332330465316772, -0.006444793194532394, 0.0034966294188052416, 158313.265625, 119357.34375, 158416.75, 144558.296875, 132506.984375, 153347.75, 36963.0, 46217.0, 45405.0, 41559.0, -0.0723450556397438, -0.1112363338470459, 0, 0, 80.0
110401, 0.5281410813331604, 0.012547281570732594, 0.26535406708717346, 0.19918987154960632, -0.00597190298140049, 0.006204487290233374, 158313.265625, 119355.1171875, 158418.71875, 144551.515625, 132519.0625, 153348.34375, 36486.0, 46519.0, 45843.0, 40901.0, -0.08678068965673447, -0.09964016824960709, 0, 0, 80.0
110421, 0.5310088396072388, 0.012468691915273666, 0.2653109133243561, 0.1965646743774414, -0.005562427453696728, 0.005018054042011499, 158313.265625, 119364.8046875, 158418.71875, 144562.609375, 132520.71875, 153348.34375, 37967.0, 45284.0, 44812.0, 42265.0, -0.09516414999961853, -0.03682336211204529, 0, 0, 82.0
110441, 0.5352368950843811, 0.012453066185116768, 0.2654496729373932, 0.1974480301141739, -0.004998419899493456, 0.008872558362782001, 158311.3125, 119352.8984375, 158416.75, 144568.859375, 132510.890625, 153349.515625, 36670.0, 45517.0, 45284.0, 42170.0, -0.09205280989408493, 0.014297372661530972, 0, 0, 82.0
110461, 0.5384742617607117, 0.012373561970889568, 0.2662425637245178, 0.19563180208206177, -0.004675283096730709, 0.012144684791564941, 158313.265625, 119353.6171875, 158412.84375, 144573.171875, 132519.0625, 153353.34375, 38128.0, 44466.0, 44501.0, 42756.0, -0.0917263999581337, 0.04580555856227875, 0, 0, 82.0
110481, 0.5421367287635803, 0.012903958559036255, 0.26653096079826355, 0.1950000673532486, -0.0027702851220965385, 0.015578276477754116, 158311.3125, 119355.84375, 158416.75, 144580.609375, 132528.71875, 153353.921875, 41136.0, 41401.0, 41292.0, 45788.0, -0.09101525694131851, 0.05635726824402809, 0, 0, 86.0
110501, 0.5454614758491516, 0.013312011025846004, 0.26652732491493225, 0.19345520436763763, -0.0012719468213617802, 0.014112729579210281, 158313.265625, 119362.515625, 158414.796875, 144576.9375, 132526.296875, 153361.421875, 45259.0, 38329.0, 35989.0, 47779.0, -0.08956164121627808, 0.05953988805413246, 0, 0, 86.0
110521, 0.5500538349151611, 0.012434139847755432, 0.2668260335922241, 0.19518260657787323, -0.003186382120475173, 0.016404176130890846, 158313.265625, 119366.25, 158412.84375, 144582.546875, 132529.453125, 153354.515625, 44872.0, 39280.0, 37188.0, 46821.0, -0.07200095057487488, 0.06698745489120483, 0, 0, 86.0
110541, 0.5534458756446838, 0.012310858815908432, 0.2682582437992096, 0.19378475844860077, -0.003239123150706291, 0.022836878895759583, 158309.359375, 119360.2890625, 158410.890625, 144587.5, 132531.875, 153370.09375, 45412.0, 38243.0, 36098.0, 47568.0, -0.026484914124011993, 0.02407142147421837, 0, 0, 85.0
110561, 0.5569159984588623, 0.012293080799281597, 0.2687143087387085, 0.1926386058330536, -0.0030850046314299107, 0.02315863035619259, 158309.359375, 119358.7890625, 158412.84375, 144585.015625, 132537.453125, 153383.90625, 43797.0, 39572.0, 37934.0, 46668.0, -0.007946875877678394, 0.02042955346405506, 0, 0, 85.0
110581, 0.5620850324630737, 0.012709207832813263, 0.2691716253757477, 0.19585028290748596, -0.00183302687946707, 0.022795237600803375, 158309.359375, 119362.515625, 158412.84375, 144587.5, 132532.625, 153369.5, 43011.0, 41387.0, 38940.0, 44760.0, -0.014559706673026085, 0.011969014070928097, 0, 0, 85.0
110601, 0.5662800669670105, 0.013136541470885277, 0.2698431611061096, 0.19642792642116547, -0.0006480981246568263, 0.022144978865981102, 158313.265625, 119364.7421875, 158410.890625, 144607.96875, 132547.859375, 153373.1875, 43604.0, 40276.0, 37775.0, 46033.0, 0.011086038313806057, -0.007971729151904583, 0, 0, 87.0
110621, 0.5702542662620544, 0.013482468202710152, 0.2702624201774597, 0.19658255577087402, 0.0001941830269061029, 0.01953287422657013, 158307.421875, 119355.0625, 158410.890625, 144610.453125, 132545.4375, 153379.5, 41662.0, 42028.0, 40371.0, 44292.0, 0.030995307490229607, -0.03904110938310623, 0, 0, 87.0
