timestamp,whisker1_1,whisker2_2
1714396626.4339325,[52.69405058],[74.48250681]
1714396626.4442003,[52.56443013],[75.81904166]
1714396626.454512,[52.56443013],[75.81904166]
1714396626.4648006,[52.16224382],[76.37593917]
1714396626.4752824,[52.16224382],[76.37593917]
1714396626.4854991,[51.24891168],[75.78914292]
1714396626.4957924,[51.24891168],[75.78914292]
1714396626.50607,[50.4665007],[75.00134665]
1714396626.516451,[50.4665007],[75.00134665]
1714396626.5267146,[49.64355014],[74.41556699]
1714396626.5370066,[49.64355014],[74.41556699]
1714396626.5472932,[48.17992126],[72.52742463]
1714396626.5575628,[48.17992126],[72.52742463]
1714396626.5678434,[47.06972628],[69.90065644]
1714396626.5781093,[47.06972628],[69.90065644]
1714396626.5883918,[45.82500497],[67.63248418]
1714396626.5986686,[45.82500497],[67.63248418]
1714396626.6089368,[43.92217615],[65.52159091]
1714396626.6191998,[43.92217615],[65.52159091]
1714396626.6294713,[42.11005256],[62.6662941]
1714396626.6397424,[42.11005256],[62.6662941]
1714396626.650131,[40.33570019],[58.77335992]
1714396626.6603973,[40.33570019],[58.77335992]
1714396626.6706672,[38.82042588],[54.25172446]
1714396626.680934,[38.82042588],[54.25172446]
1714396626.6913455,[37.26696029],[49.26598092]
1714396626.7019482,[37.26696029],[49.26598092]
1714396626.7122233,[35.38868043],[44.59514465]
1714396626.7226155,[35.38868043],[44.59514465]
1714396626.7328837,[33.51570964],[40.3697489]
1714396626.74316,[31.22194685],[36.21801722]
1714396626.7534394,[31.22194685],[36.21801722]
1714396626.7637305,[28.89270555],[32.7484336]
1714396626.773986,[28.89270555],[32.7484336]
1714396626.7843676,[26.55707394],[30.17521614]
1714396626.7948864,[26.55707394],[30.17521614]
1714396626.8051631,[24.01618048],[27.31586113]
1714396626.8155768,[24.01618048],[27.31586113]
1714396626.8258648,[21.96780019],[23.95189316]
1714396626.836142,[21.96780019],[23.95189316]
1714396626.8464196,[19.81867284],[21.11812508]
1714396626.856704,[19.81867284],[21.11812508]
1714396626.8669765,[17.80644775],[18.7568733]
1714396626.877269,[17.80644775],[18.7568733]
1714396626.8878915,[16.47801416],[16.47341389]
1714396626.8981693,[16.47801416],[16.47341389]
1714396626.9084637,[14.70299133],[14.17036232]
1714396626.9187572,[14.70299133],[14.17036232]
1714396626.9290483,[13.09389918],[12.06839989]
1714396626.9393342,[13.09389918],[12.06839989]
1714396626.9496357,[11.74512519],[10.36316891]
1714396626.9602687,[11.74512519],[10.36316891]
1714396626.970563,[10.31508034],[8.63187771]
1714396626.980802,[10.31508034],[8.63187771]
1714396626.9910982,[9.46425871],[7.83652675]
1714396627.0013216,[9.46425871],[7.83652675]
1714396627.0116122,[8.70062878],[8.576161]
1714396627.0219078,[8.70062878],[8.576161]
1714396627.0321949,[7.54441204],[9.05101504]
1714396627.0424893,[6.15308971],[9.30954119]
1714396627.0528357,[6.15308971],[9.30954119]
1714396627.0634627,[5.15998064],[10.02620611]
1714396627.0737512,[5.15998064],[10.02620611]
1714396627.084043,[4.31957973],[10.17253187]
1714396627.0943325,[4.31957973],[10.17253187]
1714396627.1046665,[3.90693946],[9.32503747]
1714396627.1149626,[3.90693946],[9.32503747]
1714396627.1252482,[3.90693946],[9.32503747]
1714396627.1355636,[4.05254913],[6.92855677]
1714396627.145977,[3.79592557],[3.32214117]
1714396627.1562648,[3.79592557],[3.32214117]
1714396627.1665654,[3.67692954],[3.68534781]
1714396627.176763,[3.67692954],[3.68534781]
1714396627.1872714,[3.94930787],[5.5101594]
1714396627.1976857,[3.94930787],[5.5101594]
1714396627.2079759,[4.16472686],[9.28151403]
1714396627.2182572,[4.16472686],[9.28151403]
1714396627.2285447,[4.26204469],[13.54835049]
1714396627.2388842,[4.26204469],[13.54835049]
1714396627.2491813,[4.32191367],[17.18545765]
1714396627.2594898,[4.32191367],[17.18545765]
1714396627.269927,[5.08908832],[21.74273685]
1714396627.2802176,[5.08908832],[21.74273685]
1714396627.290531,[5.89948727],[20.49981493]
1714396627.3008325,[5.89948727],[20.49981493]
1714396627.3111422,[6.47845105],[18.89974885]
1714396627.3214507,[6.47845105],[18.89974885]
1714396627.331756,[7.70500773],[21.28428437]
1714396627.3420599,[7.70500773],[21.28428437]
